Parameter	Label	Guess			
offset	offset	0.8			
amp_1	water	-0.67			
width_1	water	1.8			
shift_1	water	0			
amp_2	MT	-0.1			
shift_2	MT	10			
width_2	MT	-1.8			
amp_3	NOE (-3.0 ppm)	-0.08			
width_3	NOE (-3.0 ppm)	2			
shift_3	NOE (-3.0 ppm)	-3			
amp_4	NOE2 (-4.0 ppm)	-0.08			
width_4	NOE2 (-4.0 ppm)	2			
shift_4	NOE2 (-4.0 ppm)	-4			
amp_5	amide (3.5 ppm)	-0.05			
width_5	amide (3.5 ppm)	4.5			
shift_5	amide (3.5 ppm)	3.5			
amp_6	amine (2.75 ppm)	-0.05			
width_6	amine (2.75 ppm)	1			
shift_6	amine (2.75 ppm)	2.75			
amp_7	amine2 (2.0 ppm)	-0.05			
width_7	amine2 (2.0 ppm)	2			
shift_7	amine2 (2.0 ppm)	2			
